area_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,cloudcover_mean
amazon_rainforest,2007-05-24,29.8,24.1,7.9,10.1,62
amazon_rainforest,2007-05-25,27.7,23.7,7.1,9.2,90
amazon_rainforest,2007-05-26,28.3,23.4,3.1,7.7,84
amazon_rainforest,2007-05-27,26.7,23.4,9.4,5.6,98
amazon_rainforest,2007-05-28,28.8,23.4,4.7,6.1,84
amazon_rainforest,2007-05-29,29.2,23.3,8.3,5.8,70
amazon_rainforest,2007-05-30,26.7,23.2,7.4,8.2,88
amazon_rainforest,2007-05-31,28.8,22.7,1.8,5.2,77
amazon_rainforest,2007-06-01,28.8,23.2,6.1,5.6,59
amazon_rainforest,2007-06-02,26.6,23.2,16.0,7.7,92
amazon_rainforest,2007-06-03,27.5,23.3,6.9,9.2,73
amazon_rainforest,2007-06-04,28.1,22.8,3.4,7.4,86
amazon_rainforest,2007-06-05,29.3,22.9,4.3,6.7,48
amazon_rainforest,2007-06-06,29.1,23.3,7.1,8.7,58
amazon_rainforest,2007-06-07,30.2,23.4,1.1,11.6,40
amazon_rainforest,2007-06-08,29.5,23.6,3.7,13.1,71
amazon_rainforest,2007-06-09,28.0,23.6,7.8,11.6,70
amazon_rainforest,2007-06-10,27.5,23.1,11.4,14.7,56
amazon_rainforest,2007-06-11,28.9,23.6,2.2,12.6,58
amazon_rainforest,2007-06-12,29.2,23.4,2.7,13.4,58
amazon_rainforest,2007-06-13,28.2,23.6,5.6,8.3,89
amazon_rainforest,2007-06-14,27.8,23.1,8.9,10.1,64
amazon_rainforest,2007-06-15,28.1,22.7,7.1,9.0,79
amazon_rainforest,2007-06-16,27.2,23.1,11.7,6.5,93
amazon_rainforest,2007-06-17,28.9,22.7,2.5,5.1,64
amazon_rainforest,2007-06-18,30.3,24.0,1.5,8.5,54
amazon_rainforest,2007-06-19,28.5,23.4,8.1,9.7,55
amazon_rainforest,2007-06-20,29.9,23.6,0.6,7.4,49
amazon_rainforest,2007-06-21,29.9,23.6,0.6,10.8,22
amazon_rainforest,2007-06-22,29.6,23.8,4.4,9.5,62
amazon_rainforest,2007-06-23,30.2,24.3,0.0,9.8,61
amazon_rainforest,2007-06-24,30.1,24.0,0.0,9.8,13
amazon_rainforest,2007-06-25,30.0,24.7,0.7,8.5,24
amazon_rainforest,2007-06-26,30.4,23.4,0.2,9.6,29
amazon_rainforest,2007-06-27,30.8,24.2,0.0,8.2,47
amazon_rainforest,2007-06-28,30.4,24.5,0.0,7.4,54
amazon_rainforest,2007-06-29,30.3,24.3,0.7,7.3,28
